ID;Nome do Produto;Categoria;Marca;Preço (R$);Custo Produção (R$);Margem Lucro (%);Consumo kWh;Eficiência;Peso (kg);Região Venda;Canal Venda;Promoção;Avaliação Cliente;Garantia (meses);Data da Venda;Tipo de Cliente;Forma de Pagamento;Fornecedor
1;Fogão modelo 597;Fogão;Electrolux;1034,58;802,00;29;56.14;A;48.71;Sudeste;E-commerce;Sim;3;12;18/12/2023;Revendedor;PIX;Distribuidora Alfa
2;Ar Condicionado modelo 120;Ar Condicionado;LG;1288,34;870,50;48;190.66;B;16.57;Sul;E-commerce;Não;3;36;10/06/2022;Consumidor Final;Boleto;Distribuidora Alfa
3;Máquina de Lavar modelo 721;Máquina de Lavar;Brastemp;1205,62;913,35;32;430.65;C;11.81;Sul;Loja Física;Não;5;36;05/01/2022;Consumidor Final;PIX;Fornecedora Gamma
4;Fogão modelo 320;Fogão;Consul;640,71;577,22;11;318.75;B;78.57;Sul;Loja Física;Não;4;12;15/03/2023;Revendedor;Boleto;Fornecedor Delta
5;Ar Condicionado modelo 455;Ar Condicionado;Philco;1862,77;1241,85;50;307.69;D;75.12;Norte;Loja Física;Sim;2;18;05/12/2023;Revendedor;Cartão;Distribuidora Alfa
6;Secadora modelo 535;Secadora;Philco;1341,69;906,55;48;229.09;D;26.75;Nordeste;E-commerce;Sim;2;12;19/12/2022;Consumidor Final;Cartão;Distribuidora Epsilon
7;Máquina de Lavar modelo 117;Máquina de Lavar;Brastemp;2543,99;1766,66;44;458.88;C;34.62;Norte;E-commerce;Sim;5;24;08/05/2022;Consumidor Final;Cartão;Distribuidora Epsilon
8;Micro-ondas modelo 502;Micro-ondas;Whirlpool;1965,03;1535,18;28;318.09;A;52.57;Sudeste;Loja Física;Não;4;36;27/08/2023;Consumidor Final;PIX;Distribuidora Epsilon
9;Fogão modelo 431;Fogão;LG;499,1;402,50;24;149.44;A;11.26;Nordeste;Loja Física;Sim;1;12;27/12/2023;Revendedor;Dinheiro;Distribuidora Beta
10;Máquina de Lavar modelo 680;Máquina de Lavar;Brastemp;1754,16;1461,80;20;489.57;C;75.94;Sudeste;Loja Física;Sim;4;24;12/08/2022;Revendedor;Cartão;Fornecedora Gamma
11;Geladeira modelo 137;Geladeira;Samsung;441,97;324,98;36;338.0;D;17.56;Norte;E-commerce;Sim;2;12;08/05/2022;Consumidor Final;Boleto;Distribuidora Alfa
12;Micro-ondas modelo 860;Micro-ondas;LG;1843,68;1463,24;26;269.7;A;92.43;Centro-Oeste;E-commerce;Não;3;18;13/09/2022;Revendedor;Boleto;Distribuidora Beta
13;Secadora modelo 119;Secadora;Electrolux;1524,67;1200,53;27;458.7;D;74.87;Norte;E-commerce;Não;2;18;02/02/2022;Revendedor;PIX;Distribuidora Alfa
